"Book Title","Author","ISBN","Rank","Week","x","y"
"TOM LAKE","Ann Patchett","9780063327528",8,663,19890,240
"SWORD CATCHER","Cassandra Clare","9780525619994",9,663,19890,270
"THE HOUSEMAID","Freida McFadden","9781538742570",10,663,19890,300
"THE SEVEN HUSBANDS OF EVELYN HUGO","Taylor Jenkins Reid","9781501161933",11,663,19890,330
"THE ARMOR OF LIGHT","Ken Follett","9780525954996",12,663,19890,360
"TWISTED LOVE","Ana Huang","9781728274867",13,663,19890,390
"THINGS WE LEFT BEHIND","Lucy Score","9781728276120",14,663,19890,420
"THINGS WE NEVER GOT OVER","Lucy Score","9781945631832",15,663,19890,450
"JUDGMENT PREY","John Sandford","9780593542811",1,662,19860,30
"WILDFIRE","Hannah Grace","9781668026274",2,662,19860,60
"FOURTH WING","Rebecca Yarros","9781649374042",3,662,19860,90
"SECOND ACT","Danielle Steel","9781984821959",4,662,19860,120
"HOLLY","Stephen King","9781668016138",5,662,19860,150
"DARK MEMORY","Christine Feehan","9780593638743",6,662,19860,180
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",7,662,19860,210
"TRUST","Hernan Diaz","9780593420317",8,662,19860,240
"12 MONTHS TO LIVE","James Patterson and Mike Lupica","9780316405690",9,662,19860,270
"ICEBREAKER","Hannah Grace","9781668026038",10,662,19860,300
"THE ARMOR OF LIGHT","Ken Follett","9780525954996",11,662,19860,330
"TOM LAKE","Ann Patchett","9780063327528",12,662,19860,360
"THE HOUSEMAID","Freida McFadden","9781538742570",13,662,19860,390
"STARLING HOUSE","Alix E. Harrow","9781250799050",14,662,19860,420
"THRONE OF THE FALLEN","Kerri Maniscalco","9780316557290",15,662,19860,450
"THE RUNNING GRAVE","Robert Galbraith","9780316572101",1,661,19830,30
"THE ARMOR OF LIGHT","Ken Follett","9780525954996",2,661,19830,60
"FOURTH WING","Rebecca Yarros","9781649374042",3,661,19830,90
"12 MONTHS TO LIVE","James Patterson and Mike Lupica","9780316405690",4,661,19830,120
"HOUSE OF SKY AND BREATH","Sarah J. Maas","9781635574074",5,661,19830,150
"HOLLY","Stephen King","9781668016138",6,661,19830,180
"HOUSE OF EARTH AND BLOOD","Sarah J. Maas","9781635574043",7,661,19830,210
"TOM LAKE","Ann Patchett","9780063327528",8,661,19830,240
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",9,661,19830,270
"THINGS WE LEFT BEHIND","Lucy Score","9781728276120",10,661,19830,300
"THE HOUSEMAID","Freida McFadden","9781538742570",11,661,19830,330
"THE FRAGILE THREADS OF POWER","V.E. Schwab","9780765387493",12,661,19830,360
"ICEBREAKER","Hannah Grace","9781668026038",13,661,19830,390
"BRIGHT LIGHTS, BIG CHRISTMAS","Mary Kay Andrews","9781250285812",14,661,19830,420
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",15,661,19830,450
"THE LAST DEVIL TO DIE","Richard Osman","9780593299425",1,660,19800,30
"FOURTH WING","Rebecca Yarros","9781649374042",2,660,19800,60
"HOLLY","Stephen King","9781668016138",3,660,19800,90
"TOM LAKE","Ann Patchett","9780063327528",4,660,19800,120
"THINGS WE LEFT BEHIND","Lucy Score","9781728276120",5,660,19800,150
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",6,660,19800,180
"VINCE FLYNN: CODE RED","Kyle Mills","9781982164997",7,660,19800,210
"THE HOUSEMAID","Freida McFadden","9781538742570",8,660,19800,240
"23 1/2 LIES","James Patterson","9781538752685",9,660,19800,270
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",10,660,19800,300
"MURDER IN THE FAMILY","Cara Hunter","9780063272071",11,660,19800,330
"STARTER VILLAIN","John Scalzi","9780765389220",12,660,19800,360
"TOO LATE","Colleen Hoover","9781538756591",13,660,19800,390
"THE UNFORTUNATE SIDE EFFECTS OF HEARTBREAK AND MAGIC","Breanne Randall","9781639105731",14,660,19800,420
"BLESSING OF THE LOST GIRLS","J.A. Jance","9780063010116",15,660,19800,450
"VINCE FLYNN: CODE RED","Kyle Mills","9781982164997",1,659,19770,30
"HOLLY","Stephen King","9781668016138",2,659,19770,60
"FOURTH WING","Rebecca Yarros","9781649374042",3,659,19770,90
"23 1/2 LIES","James Patterson","9781538752685",4,659,19770,120
"THINGS WE LEFT BEHIND","Lucy Score","9781728276120",5,659,19770,150
"FALL OF RUIN AND WRATH","Jennifer L. Armentrout","9781250750198",6,659,19770,180
"TOM LAKE","Ann Patchett","9780063327528",7,659,19770,210
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",8,659,19770,240
"THE HOUSEMAID","Freida McFadden","9781538742570",9,659,19770,270
"TOO LATE","Colleen Hoover","9781538756591",10,659,19770,300
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",11,659,19770,330
"PAYBACK IN DEATH","J.D. Robb","9781250284099",12,659,19770,360
"ASSISTANT TO THE VILLAIN","Hannah Nicole Maehrer","9781649375803",13,659,19770,390
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",14,659,19770,420
"THE VASTER WILDS","Lauren Groff","9780593418390",15,659,19770,450
"HOLLY","Stephen King","9781668016138",1,658,19740,30
"THINGS WE LEFT BEHIND","Lucy Score","9781728276120",2,658,19740,60
"PAYBACK IN DEATH","J.D. Robb","9781250284099",3,658,19740,90
"FOURTH WING","Rebecca Yarros","9781649374042",4,658,19740,120
"THE RIVER WE REMEMBER","William Kent Krueger","9781982179212",5,658,19740,150
"TOM LAKE","Ann Patchett","9780063327528",6,658,19740,180
"THE LONGMIRE DEFENSE","Craig Johnson","9780593297315",7,658,19740,210
"TOM CLANCY: WEAPONS GRADE","Don Bentley","9780593422816",8,658,19740,240
"THE HOUSEMAID","Freida McFadden","9781538742570",9,658,19740,270
"ASSISTANT TO THE VILLAIN","Hannah Nicole Maehrer","9781649375803",10,658,19740,300
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",11,658,19740,330
"TOO LATE","Colleen Hoover","9781538756591",12,658,19740,360
"THE RAGING STORM","Ann Cleeves","9781250836786",13,658,19740,390
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",14,658,19740,420
"CLIVE CUSSLER: CONDOR'S FURY","Graham Brown","9780593543986",15,658,19740,450
"FOURTH WING","Rebecca Yarros","9781649374042",1,657,19710,30
"ASSISTANT TO THE VILLAIN","Hannah Nicole Maehrer","9781649375803",2,657,19710,60
"TOM LAKE","Ann Patchett","9780063327528",3,657,19710,90
"THE COWORKER","Freida McFadden","9781728296203",4,657,19710,120
"THE BREAKAWAY","Jennifer Weiner","9781668033425",5,657,19710,150
"THE HOUSEMAID","Freida McFadden","9781538742570",6,657,19710,180
"TOO LATE","Colleen Hoover","9781538756591",7,657,19710,210
"THE GIRL IN THE EAGLE'S TALONS","Karin Smirnoff","9780593536698",8,657,19710,240
"IT ENDS WITH US","Colleen Hoover","9781501110368",9,657,19710,270
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",10,657,19710,300
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",11,657,19710,330
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",12,657,19710,360
"THE HEAVEN & EARTH GROCERY STORE","James McBride","9780593422946",13,657,19710,390
"VERITY","Colleen Hoover","9781791392796",14,657,19710,420
"IT STARTS WITH US","Colleen Hoover","9781668001226",15,657,19710,450
"FOURTH WING","Rebecca Yarros","9781649374042",1,656,19680,30
"DEAD MOUNTAIN","Douglas Preston and Lincoln Child","9781538736821",2,656,19680,60
"TOM LAKE","Ann Patchett","9780063327528",3,656,19680,90
"AFTER THAT NIGHT","Karin Slaughter","9780063157781",4,656,19680,120
"THE HOUSEMAID","Freida McFadden","9781538742570",5,656,19680,150
"TOO LATE","Colleen Hoover","9781538756591",6,656,19680,180
"SHADOW DANCE","Christine Feehan","9780593638712",7,656,19680,210
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",8,656,19680,240
"IT ENDS WITH US","Colleen Hoover","9781501110368",9,656,19680,270
"RED, WHITE AND ROYAL BLUE","Casey McQuiston","9781250316776",10,656,19680,300
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",11,656,19680,330
"A LITTLE LIFE","Hanya Yanagihara","9780385539258",12,656,19680,360
"THE SILENT PATIENT","Alex Michaelides","9781250301697",13,656,19680,390
"IT STARTS WITH US","Colleen Hoover","9781668001226",14,656,19680,420
"VERITY","Colleen Hoover","9781791392796",15,656,19680,450
"TOM LAKE","Ann Patchett","9780063327528",1,655,19650,30
"FOURTH WING","Rebecca Yarros","9781649374042",2,655,19650,60
"RED, WHITE AND ROYAL BLUE","Casey McQuiston","9781250316776",3,655,19650,90
"TOO LATE","Colleen Hoover","9781538756591",4,655,19650,120
"LION & LAMB","James Patterson and Duane Swierczynski","9780316404891",5,655,19650,150
"THE HOUSEMAID","Freida McFadden","9781538742570",6,655,19650,180
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",7,655,19650,210
"IT ENDS WITH US","Colleen Hoover","9781501110368",8,655,19650,240
"ICEBREAKER","Hannah Grace","9781668026038",9,655,19650,270
"TIDES OF FIRE","James Rollins","9780062893079",10,655,19650,300
"IT STARTS WITH US","Colleen Hoover","9781668001226",11,655,19650,330
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",12,655,19650,360
"VERITY","Colleen Hoover","9781791392796",13,655,19650,390
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",14,655,19650,420
"NONE OF THIS IS TRUE","Lisa Jewell","9781982179007",15,655,19650,450
"FOURTH WING","Rebecca Yarros","9781649374042",1,654,19620,30
"TOM LAKE","Ann Patchett","9780063327528",2,654,19620,60
"HAPPINESS","Danielle Steel","9781984821928",3,654,19620,90
"NONE OF THIS IS TRUE","Lisa Jewell","9781982179007",4,654,19620,120
"THE HEAVEN & EARTH GROCERY STORE","James McBride","9780593422946",5,654,19620,150
"TOO LATE","Colleen Hoover","9781538756591",6,654,19620,180
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",7,654,19620,210
"IT ENDS WITH US","Colleen Hoover","9781501110368",8,654,19620,240
"THE HOUSEMAID","Freida McFadden","9781538742570",9,654,19620,270
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",10,654,19620,300
"IT STARTS WITH US","Colleen Hoover","9781668001226",11,654,19620,330
"CRUEL SEDUCTION","Katee Robert","9781728262765",12,654,19620,360
"VERITY","Colleen Hoover","9781791392796",13,654,19620,390
"ICEBREAKER","Hannah Grace","9781668026038",14,654,19620,420
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",15,654,19620,450
"TOM LAKE","Ann Patchett","9780063327528",1,653,19590,30
"FOURTH WING","Rebecca Yarros","9781649374042",2,653,19590,60
"OUT OF NOWHERE","Sandra Brown","9781538742945",3,653,19590,90
"TOO LATE","Colleen Hoover","9781538756591",4,653,19590,120
"IT ENDS WITH US","Colleen Hoover","9781501110368",5,653,19590,150
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",6,653,19590,180
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",7,653,19590,210
"THE HOUSEMAID","Freida McFadden","9781538742570",8,653,19590,240
"IT STARTS WITH US","Colleen Hoover","9781668001226",9,653,19590,270
"VERITY","Colleen Hoover","9781791392796",10,653,19590,300
"ICEBREAKER","Hannah Grace","9781668026038",11,653,19590,330
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",12,653,19590,360
"DEAD FALL","Brad Thor","9781982182199",13,653,19590,390
"THE COLLECTOR","Daniel Silva","9780062834874",14,653,19590,420
"HAPPY PLACE","Emily Henry","9780593441275",15,653,19590,450
"FOURTH WING","Rebecca Yarros","9781649374042",1,652,19560,30
"DEAD FALL","Brad Thor","9781982182199",2,652,19560,60
"LIGHT BRINGER","Pierce Brown","9780425285978",3,652,19560,90
"TOO LATE","Colleen Hoover","9781538756591",4,652,19560,120
"IT ENDS WITH US","Colleen Hoover","9781501110368",5,652,19560,150
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",6,652,19560,180
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",7,652,19560,210
"THE COLLECTOR","Daniel Silva","9780062834874",8,652,19560,240
"IT STARTS WITH US","Colleen Hoover","9781668001226",9,652,19560,270
"VERITY","Colleen Hoover","9781791392796",10,652,19560,300
"ICEBREAKER","Hannah Grace","9781668026038",11,652,19560,330
"THE HOUSEMAID","Freida McFadden","9781538742570",12,652,19560,360
"HAPPY PLACE","Emily Henry","9780593441275",13,652,19560,390
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",14,652,19560,420
"THE SEVEN HUSBANDS OF EVELYN HUGO","Taylor Jenkins Reid","9781501161933",15,652,19560,450
"THE COLLECTOR","Daniel Silva","9780062834874",1,651,19530,30
"FOURTH WING","Rebecca Yarros","9781649374042",2,651,19530,60
"TOO LATE","Colleen Hoover","9781538756591",3,651,19530,90
"IT ENDS WITH US","Colleen Hoover","9781501110368",4,651,19530,120
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",5,651,19530,150
"A SOUL OF ASH AND BLOOD","Jennifer L. Armentrout","9781957568423",6,651,19530,180
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",7,651,19530,210
"IT STARTS WITH US","Colleen Hoover","9781668001226",8,651,19530,240
"ICEBREAKER","Hannah Grace","9781668026038",9,651,19530,270
"THE HOUSEMAID","Freida McFadden","9781538742570",10,651,19530,300
"VERITY","Colleen Hoover","9781791392796",11,651,19530,330
"HAPPY PLACE","Emily Henry","9780593441275",12,651,19530,360
"THE SEVEN HUSBANDS OF EVELYN HUGO","Taylor Jenkins Reid","9781501161933",13,651,19530,390
"THE FIVE-STAR WEEKEND","Elin Hilderbrand","9780316258777",14,651,19530,420
"CROOK MANIFESTO","Colson Whitehead","9780385545150",15,651,19530,450
"FOURTH WING","Rebecca Yarros","9781649374042",1,650,19500,30
"TOO LATE","Colleen Hoover","9781538756591",2,650,19500,60
"OBSESSED","James Patterson and James O. Born","9780316499576",3,650,19500,90
"IT ENDS WITH US","Colleen Hoover","9781501110368",4,650,19500,120
"IT STARTS WITH US","Colleen Hoover","9781668001226",5,650,19500,150
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",6,650,19500,180
"HAPPY PLACE","Emily Henry","9780593441275",7,650,19500,210
"VERITY","Colleen Hoover","9781791392796",8,650,19500,240
"THE FIVE-STAR WEEKEND","Elin Hilderbrand","9780316258777",9,650,19500,270
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",10,650,19500,300
"THE HOUSEMAID","Freida McFadden","9781538742570",11,650,19500,330
"ICEBREAKER","Hannah Grace","9781668026038",12,650,19500,360
"THE SEVEN HUSBANDS OF EVELYN HUGO","Taylor Jenkins Reid","9781501161933",13,650,19500,390
"UGLY LOVE","Colleen Hoover","9781476753188",14,650,19500,420
"TWISTED LOVE","Ana Huang","9781728274867",15,650,19500,450
"TOO LATE","Colleen Hoover","9781538756591",1,649,19470,30
"FOURTH WING","Rebecca Yarros","9781649374042",2,649,19470,60
"IT ENDS WITH US","Colleen Hoover","9781501110368",3,649,19470,90
"THE FIVE-STAR WEEKEND","Elin Hilderbrand","9780316258777",4,649,19470,120
"HAPPY PLACE","Emily Henry","9780593441275",5,649,19470,150
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",6,649,19470,180
"IT STARTS WITH US","Colleen Hoover","9781668001226",7,649,19470,210
"ICEBREAKER","Hannah Grace","9781668026038",8,649,19470,240
"VERITY","Colleen Hoover","9781791392796",9,649,19470,270
"THE HOUSEMAID","Freida McFadden","9781538742570",10,649,19470,300
"THE SEVEN HUSBANDS OF EVELYN HUGO","Taylor Jenkins Reid","9781501161933",11,649,19470,330
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",12,649,19470,360
"LOVE, THEORETICALLY","Ali Hazelwood","9780593336861",13,649,19470,390
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",14,649,19470,420
"UGLY LOVE","Colleen Hoover","9781476753188",15,649,19470,450
"TOO LATE","Colleen Hoover","9781538756591",1,648,19440,30
"FOURTH WING","Rebecca Yarros","9781649374042",2,648,19440,60
"THE FIVE-STAR WEEKEND","Elin Hilderbrand","9780316258777",3,648,19440,90
"IT ENDS WITH US","Colleen Hoover","9781501110368",4,648,19440,120
"HAPPY PLACE","Emily Henry","9780593441275",5,648,19440,150
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",6,648,19440,180
"IT STARTS WITH US","Colleen Hoover","9781668001226",7,648,19440,210
"VERITY","Colleen Hoover","9781791392796",8,648,19440,240
"ICEBREAKER","Hannah Grace","9781668026038",9,648,19440,270
"LOVE, THEORETICALLY","Ali Hazelwood","9780593336861",10,648,19440,300
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",11,648,19440,330
"PALAZZO","Danielle Steel","9781984821898",12,648,19440,360
"THE SEVEN HUSBANDS OF EVELYN HUGO","Taylor Jenkins Reid","9781501161933",13,648,19440,390
"THE HOUSEMAID","Freida McFadden","9781538742570",14,648,19440,420
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",15,648,19440,450
"THE FIVE-STAR WEEKEND","Elin Hilderbrand","9780316258777",1,647,19410,30
"HAPPY PLACE","Emily Henry","9780593441275",2,647,19410,60
"FOURTH WING","Rebecca Yarros","9781649374042",3,647,19410,90
"IT ENDS WITH US","Colleen Hoover","9781501110368",4,647,19410,120
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",5,647,19410,150
"ZERO DAYS","Ruth Ware","9781982155292",6,647,19410,180
"LOVE, THEORETICALLY","Ali Hazelwood","9780593336861",7,647,19410,210
"IT STARTS WITH US","Colleen Hoover","9781668001226",8,647,19410,240
"ICEBREAKER","Hannah Grace","9781668026038",9,647,19410,270
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",10,647,19410,300
"VERITY","Colleen Hoover","9781791392796",11,647,19410,330
"THE ONLY ONE LEFT","Riley Sager","9780593183229",12,647,19410,360
"THE SEVEN HUSBANDS OF EVELYN HUGO","Taylor Jenkins Reid","9781501161933",13,647,19410,390
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",14,647,19410,420
"THE HOUSEMAID","Freida McFadden","9781538742570",15,647,19410,450
"THE FIVE-STAR WEEKEND","Elin Hilderbrand","9780316258777",1,646,19380,30
"LOVE, THEORETICALLY","Ali Hazelwood","9780593336861",2,646,19380,60
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",3,646,19380,90
"HAPPY PLACE","Emily Henry","9780593441275",4,646,19380,120
"IT ENDS WITH US","Colleen Hoover","9781501110368",5,646,19380,150
"FOURTH WING","Rebecca Yarros","9781649374042",6,646,19380,180
"ICEBREAKER","Hannah Grace","9781668026038",7,646,19380,210
"IT STARTS WITH US","Colleen Hoover","9781668001226",8,646,19380,240
"VERITY","Colleen Hoover","9781791392796",9,646,19380,270
"THE SEVEN HUSBANDS OF EVELYN HUGO","Taylor Jenkins Reid","9781501161933",10,646,19380,300
"CROSS DOWN","James Patterson and Brendan DuBois","9780316404594",11,646,19380,330
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",12,646,19380,360
"TWISTED LOVE","Ana Huang","9781728274867",13,646,19380,390
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",14,646,19380,420
"MEET ME AT THE LAKE","Carley Fortune","9780593438558",15,646,19380,450
"CROSS DOWN","James Patterson and Brendan DuBois","9780316404594",1,645,19350,30
"HAPPY PLACE","Emily Henry","9780593441275",2,645,19350,60
"IT ENDS WITH US","Colleen Hoover","9781501110368",3,645,19350,90
"IT STARTS WITH US","Colleen Hoover","9781668001226",4,645,19350,120
"FOURTH WING","Rebecca Yarros","9781649374042",5,645,19350,150
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",6,645,19350,180
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",7,645,19350,210
"UNFORTUNATELY YOURS","Tessa Bailey","9780063239036",8,645,19350,240
"NEAR MISS","Stuart Woods and Brett Battles","9780593540077",9,645,19350,270
"CLIVE CUSSLER: FIRE STRIKE","Mike Maden","9780593543931",10,645,19350,300
"VERITY","Colleen Hoover","9781791392796",11,645,19350,330
"ICEBREAKER","Hannah Grace","9781668026038",12,645,19350,360
"IDENTITY","Nora Roberts","9781250284112",13,645,19350,390
"LADY TAN'S CIRCLE OF WOMEN","Lisa See","9781982117085",14,645,19350,420
"THE SEVEN HUSBANDS OF EVELYN HUGO","Taylor Jenkins Reid","9781501161933",15,645,19350,450
"HAPPY PLACE","Emily Henry","9780593441275",1,644,19320,30
"IT ENDS WITH US","Colleen Hoover","9781501110368",2,644,19320,60
"IT STARTS WITH US","Colleen Hoover","9781668001226",3,644,19320,90
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",4,644,19320,120
"IDENTITY","Nora Roberts","9781250284112",5,644,19320,150
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",6,644,19320,180
"VERITY","Colleen Hoover","9781791392796",7,644,19320,210
"MEET ME AT THE LAKE","Carley Fortune","9780593438558",8,644,19320,240
"FOURTH WING","Rebecca Yarros","9781649374042",9,644,19320,270
"ICEBREAKER","Hannah Grace","9781668026038",10,644,19320,300
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",11,644,19320,330
"THE SEVEN HUSBANDS OF EVELYN HUGO","Taylor Jenkins Reid","9781501161933",12,644,19320,360
"DROWNING","T.J. Newman","9781982177911",13,644,19320,390
"THE LAST THING HE TOLD ME","Laura Dave","9781501171345",14,644,19320,420
"KILLING MOON","Jo Nesbo","9780593536964",15,644,19320,450
"IDENTITY","Nora Roberts","9781250284112",1,643,19290,30
"HAPPY PLACE","Emily Henry","9780593441275",2,643,19290,60
"IT ENDS WITH US","Colleen Hoover","9781501110368",3,643,19290,90
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",4,643,19290,120
"IT STARTS WITH US","Colleen Hoover","9781668001226",5,643,19290,150
"FOURTH WING","Rebecca Yarros","9781649374042",6,643,19290,180
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",7,643,19290,210
"TOM CLANCY: FLASH POINT","Don Bentley","9780593422786",8,643,19290,240
"MEET ME AT THE LAKE","Carley Fortune","9780593438558",9,643,19290,270
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",10,643,19290,300
"VERITY","Colleen Hoover","9781791392796",11,643,19290,330
"THE SEVEN HUSBANDS OF EVELYN HUGO","Taylor Jenkins Reid","9781501161933",12,643,19290,360
"THE LAST THING HE TOLD ME","Laura Dave","9781501171345",13,643,19290,390
"THE HOUSEMAID","Freida McFadden","9781538742570",14,643,19290,420
"ICEBREAKER","Hannah Grace","9781668026038",15,643,19290,450
"ONLY THE DEAD","Jack Carr","9781982181697",1,642,19260,30
"HAPPY PLACE","Emily Henry","9780593441275",2,642,19260,60
"IT ENDS WITH US","Colleen Hoover","9781501110368",3,642,19260,90
"IT STARTS WITH US","Colleen Hoover","9781668001226",4,642,19260,120
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",5,642,19260,150
"FOURTH WING","Rebecca Yarros","9781649374042",6,642,19260,180
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",7,642,19260,210
"VERITY","Colleen Hoover","9781791392796",8,642,19260,240
"THE 23RD MIDNIGHT","James Patterson and Maxine Paetro","9780316402781",9,642,19260,270
"THE LAST THING HE TOLD ME","Laura Dave","9781501171345",10,642,19260,300
"THE TRUE LOVE EXPERIMENT","Christina Lauren","9781982173432",11,642,19260,330
"MEET ME AT THE LAKE","Carley Fortune","9780593438558",12,642,19260,360
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",13,642,19260,390
"THE SEVEN HUSBANDS OF EVELYN HUGO","Taylor Jenkins Reid","9781501161933",14,642,19260,420
"YELLOWFACE","R.F. Kuang","9780063250833",15,642,19260,450
"HAPPY PLACE","Emily Henry","9780593441275",1,641,19230,30
"IT ENDS WITH US","Colleen Hoover","9781501110368",2,641,19230,60
"THE MAKING OF ANOTHER MAJOR MOTION PICTURE MASTERPIECE","Tom Hanks","9780525655596",3,641,19230,90
"FOURTH WING","Rebecca Yarros","9781649374042",4,641,19230,120
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",5,641,19230,150
"IT STARTS WITH US","Colleen Hoover","9781668001226",6,641,19230,180
"THE 23RD MIDNIGHT","James Patterson and Maxine Paetro","9780316402781",7,641,19230,210
"QUEEN CHARLOTTE","Julia Quinn and Shonda Rhimes","9780063305083",8,641,19230,240
"DEMON COPPERHEAD","Barbara Kingsolver","9780063251922",9,641,19230,270
"MEET ME AT THE LAKE","Carley Fortune","9780593438558",10,641,19230,300
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",11,641,19230,330
"THE LAST THING HE TOLD ME","Laura Dave","9781501171345",12,641,19230,360
"SIMPLY LIES","David Baldacci","9781538750636",13,641,19230,390
"VERITY","Colleen Hoover","9781791392796",14,641,19230,420
"HELLO BEAUTIFUL","Ann Napolitano","9780593243732",15,641,19230,450
"THE 23RD MIDNIGHT","James Patterson and Maxine Paetro","9780316402781",1,640,19200,30
"HAPPY PLACE","Emily Henry","9780593441275",2,640,19200,60
"MEET ME AT THE LAKE","Carley Fortune","9780593438558",3,640,19200,90
"THE COVENANT OF WATER","Abraham Verghese","9780802162175",4,640,19200,120
"FOURTH WING","Rebecca Yarros","9781649374042",5,640,19200,150
"THE WEDDING PLANNER","Danielle Steel","9781984821775",6,640,19200,180
"IT ENDS WITH US","Colleen Hoover","9781501110368",7,640,19200,210
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",8,640,19200,240
"SIMPLY LIES","David Baldacci","9781538750636",9,640,19200,270
"IT STARTS WITH US","Colleen Hoover","9781668001226",10,640,19200,300
"THE LAST THING HE TOLD ME","Laura Dave","9781501171345",11,640,19200,330
"VERITY","Colleen Hoover","9781791392796",12,640,19200,360
"GRANDMASTER OF DEMONIC CULTIVATION: MO DAO ZU SHI, VOL. 5","Mo Xiang Tong Xiu","9781685798406",13,640,19200,390
"THE SEVEN HUSBANDS OF EVELYN HUGO","Taylor Jenkins Reid","9781501161933",14,640,19200,420
"HELLO BEAUTIFUL","Ann Napolitano","9780593243732",15,640,19200,450
"HAPPY PLACE","Emily Henry","9780593441275",1,639,19170,30
"SIMPLY LIES","David Baldacci","9781538750636",2,639,19170,60
"IT ENDS WITH US","Colleen Hoover","9781501110368",3,639,19170,90
"THE LAST THING HE TOLD ME","Laura Dave","9781501171345",4,639,19170,120
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",5,639,19170,150
"IT STARTS WITH US","Colleen Hoover","9781668001226",6,639,19170,180
"SMALL MERCIES","Dennis Lehane","9780062129482",7,639,19170,210
"VERITY","Colleen Hoover","9781791392796",8,639,19170,240
"HELLO BEAUTIFUL","Ann Napolitano","9780593243732",9,639,19170,270
"THE SEVEN HUSBANDS OF EVELYN HUGO","Taylor Jenkins Reid","9781501161933",10,639,19170,300
"THE WAY OF THE BEAR","Anne Hillerman","9780062908391",11,639,19170,330
"IN THE LIVES OF PUPPETS","T.J. Klune","9781250217448",12,639,19170,360
"NEVER NEVER","Colleen Hoover and Tarryn Fisher","9781335004888",13,639,19170,390
"DAISY JONES & THE SIX","Taylor Jenkins Reid","9781524798628",14,639,19170,420
"TOMORROW, AND TOMORROW, AND TOMORROW","Gabrielle Zevin","9780593321201",15,639,19170,450
"SIMPLY LIES","David Baldacci","9781538750636",1,638,19140,30
"THE LAST THING HE TOLD ME","Laura Dave","9781501171345",2,638,19140,60
"IT ENDS WITH US","Colleen Hoover","9781501110368",3,638,19140,90
"LESSONS IN CHEMISTRY","Bonnie Garmus","9780385547345",4,638,19140,120
