"title","author","ISBN","rank","week","description","bestsellers_date","pub","img_url","big_image_url","week_text"
"RESURRECTION","Danielle Steel","9780593498460",7,700,"After a shocking discovery and the onset of a global health crisis, a successful blogger begins to see new possibilities while staying in France.",2024-06-29,2024-07-14,"https://covers.openlibrary.org/b/isbn/9780593498460-M.jpg","https://covers.openlibrary.org/b/isbn/9780593498460-L.jpg","June 29, 2024"
"ERUPTION","Michael Crichton and James Patterson","9780316565073",8,700,"The Big Island of Hawaii comes under threat by a volcano at the same time a secret held by the military comes to light.",2024-06-29,2024-07-14,"https://covers.openlibrary.org/b/isbn/9780316565073-M.jpg","https://covers.openlibrary.org/b/isbn/9780316565073-L.jpg","June 29, 2024"
"A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473",9,700,"The second book in the Court of Thorns and Roses series. Feyre gains the powers of the High Fae and a greater evil emerges.",2024-06-29,2024-07-14,"https://covers.openlibrary.org/b/isbn/9781619634473-M.jpg","https://covers.openlibrary.org/b/isbn/9781619634473-L.jpg","June 29, 2024"
"CAMINO GHOSTS","John Grisham","9780385545990",10,700,"The third book in the Camino series. The last living inhabitant of a deserted island gets in the way of a resort developer.",2024-06-29,2024-07-14,"https://covers.openlibrary.org/b/isbn/9780385545990-M.jpg","https://covers.openlibrary.org/b/isbn/9780385545990-L.jpg","June 29, 2024"
"JUST FOR THE SUMMER","Ab Jimenez","9781538704431",11,700,"Justin and Emma, whose exes find soulmates after breaking up with them, have a fling on a private island on Lake Minnetonka.",2024-06-29,2024-07-14,"https://covers.openlibrary.org/b/isbn/9781538704431-M.jpg","https://covers.openlibrary.org/b/isbn/9781538704431-L.jpg","June 29, 2024"
"FUNNY STORY","Emily Henry","9780593441282",12,700,"After their exes run off together, Daphne and Miles form a friendship and concoct a plan involving misleading photos.",2024-06-29,2024-07-14,"https://covers.openlibrary.org/b/isbn/9780593441282-M.jpg","https://covers.openlibrary.org/b/isbn/9780593441282-L.jpg","June 29, 2024"
"A NOVEL LOVE STORY","Ashley Poston","9780593640975",13,700,"A literature professor winds up in a town from her favorite romance series and encounters a bookstore owner with an irritatingly sexy mouth.",2024-06-29,2024-07-14,"https://covers.openlibrary.org/b/isbn/9780593640975-M.jpg","https://covers.openlibrary.org/b/isbn/9780593640975-L.jpg","June 29, 2024"
"THE HOUSEMAID'S SECRET","Freida McFadden","9780349132617",14,700,"The second book in the Housemaid series. The sound of crying and the appearance of blood portend misdeeds.",2024-06-29,2024-07-14,"https://covers.openlibrary.org/b/isbn/9780349132617-M.jpg","https://covers.openlibrary.org/b/isbn/9780349132617-L.jpg","June 29, 2024"
"NOT IN LOVE","Ali Hazelwood","9780593550427",15,700,"A biotech engineer at a food science start-up has a secret affair with one of the business partners who took over the company.",2024-06-29,2024-07-14,"https://covers.openlibrary.org/b/isbn/9780593550427-M.jpg","https://covers.openlibrary.org/b/isbn/9780593550427-L.jpg","June 29, 2024"
"RED SKY MOURNING","Jack Carr","9781668047071",1,699,"The seventh book in the Terminal List series. Questionable allegiances and various threats bring James Reece back into action.",2024-06-22,2024-07-07,"https://covers.openlibrary.org/b/isbn/9781668047071-M.jpg","https://covers.openlibrary.org/b/isbn/9781668047071-L.jpg","June 22, 2024"
"THE HOUSEMAID IS WATCHING","Freida McFadden","9781464221132",2,699,"The third book in the Housemaid series. Dangers lurk in a quiet neighborhood.",2024-06-22,2024-07-07,"https://covers.openlibrary.org/b/isbn/9781464221132-M.jpg","https://covers.openlibrary.org/b/isbn/9781464221132-L.jpg","June 22, 2024"
"SWAN SONG","Elin Hilderbrand","9780316258876",3,699,"Nantucket residents are alarmed when a home, recently sold at an exorbitant price, goes up in flames and someone goes missing.",2024-06-22,2024-07-07,"https://covers.openlibrary.org/b/isbn/9780316258876-M.jpg","https://covers.openlibrary.org/b/isbn/9780316258876-L.jpg","June 22, 2024"
"WINTER LOST","Patricia Briggs","9780593438985",4,699,"The 14th book in the Mercy Thompson series. Mercy and Adam are trapped with strangers during a storm.",2024-06-22,2024-07-07,"https://covers.openlibrary.org/b/isbn/9780593438985-M.jpg","https://covers.openlibrary.org/b/isbn/9780593438985-L.jpg","June 22, 2024"
"THE WOMEN","Kristin Hannah","9781250178633",5,699,"In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.",2024-06-22,2024-07-07,"https://covers.openlibrary.org/b/isbn/9781250178633-M.jpg","https://covers.openlibrary.org/b/isbn/9781250178633-L.jpg","June 22, 2024"
"ERUPTION","Michael Crichton and James Patterson","9780316565073",6,699,"The Big Island of Hawaii comes under threat by a volcano at the same time a secret held by the military comes to light.",2024-06-22,2024-07-07,"https://covers.openlibrary.org/b/isbn/9780316565073-M.jpg","https://covers.openlibrary.org/b/isbn/9780316565073-L.jpg","June 22, 2024"
"THE HOUSEMAID","Freida McFadden","9781538742570",7,699,"Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.",2024-06-22,2024-07-07,"https://covers.openlibrary.org/b/isbn/9781538742570-M.jpg","https://covers.openlibrary.org/b/isbn/9781538742570-L.jpg","June 22, 2024"
"THE MIDNIGHT FEAST","Lucy Foley","9780063003101",8,699,"An opening night party turns deadly at a luxury resort located near an ancient forest.",2024-06-22,2024-07-07,"https://covers.openlibrary.org/b/isbn/9780063003101-M.jpg","https://covers.openlibrary.org/b/isbn/9780063003101-L.jpg","June 22, 2024"
"MIDDLE OF THE NIGHT","Riley Sager","9780593472378",9,699,"Thirty years after the disappearance of his friend, Ethan returns to his childhood home and encounters unsettling experiences.",2024-06-22,2024-07-07,"https://covers.openlibrary.org/b/isbn/9780593472378-M.jpg","https://covers.openlibrary.org/b/isbn/9780593472378-L.jpg","June 22, 2024"
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",10,699,"After killing a wolf in the woods, Feyre is taken from her home and placed inside the world of the Fae.",2024-06-22,2024-07-07,"https://covers.openlibrary.org/b/isbn/9781619634459-M.jpg","https://covers.openlibrary.org/b/isbn/9781619634459-L.jpg","June 22, 2024"
"NOT IN LOVE","Ali Hazelwood","9780593550427",11,699,"A biotech engineer at a food science start-up has a secret affair with one of the business partners who took over the company.",2024-06-22,2024-07-07,"https://covers.openlibrary.org/b/isbn/9780593550427-M.jpg","https://covers.openlibrary.org/b/isbn/9780593550427-L.jpg","June 22, 2024"
"CAMINO GHOSTS","John Grisham","9780385545990",12,699,"The third book in the Camino series. The last living inhabitant of a deserted island gets in the way of a resort developer.",2024-06-22,2024-07-07,"https://covers.openlibrary.org/b/isbn/9780385545990-M.jpg","https://covers.openlibrary.org/b/isbn/9780385545990-L.jpg","June 22, 2024"
"LOVE UNWRITTEN","Lauren Asher","9781728292144",13,699,"The second book in the Lakefront Billionaires series. A workaholic becomes attracted to the songwriter who had a crush on him in high school.",2024-06-22,2024-07-07,"https://covers.openlibrary.org/b/isbn/9781728292144-M.jpg","https://covers.openlibrary.org/b/isbn/9781728292144-L.jpg","June 22, 2024"
"JUST FOR THE SUMMER","Ab Jimenez","9781538704431",14,699,"Justin and Emma, whose exes find soulmates after breaking up with them, have a fling on a private island on Lake Minnetonka.",2024-06-22,2024-07-07,"https://covers.openlibrary.org/b/isbn/9781538704431-M.jpg","https://covers.openlibrary.org/b/isbn/9781538704431-L.jpg","June 22, 2024"
"FUNNY STORY","Emily Henry","9780593441282",15,699,"After their exes run off together, Daphne and Miles form a friendship and concoct a plan involving misleading photos.",2024-06-22,2024-07-07,"https://covers.openlibrary.org/b/isbn/9780593441282-M.jpg","https://covers.openlibrary.org/b/isbn/9780593441282-L.jpg","June 22, 2024"
"THE HOUSEMAID IS WATCHING","Freida McFadden","9781464221132",1,698,"The third book in the Housemaid series. Dangers lurk in a quiet neighborhood.",2024-06-15,2024-06-30,"https://covers.openlibrary.org/b/isbn/9781464221132-M.jpg","https://covers.openlibrary.org/b/isbn/9781464221132-L.jpg","June 15, 2024"
"SWAN SONG","Elin Hilderbrand","9780316258876",2,698,"Nantucket residents are alarmed when a home, recently sold at an exorbitant price, goes up in flames and someone goes missing.",2024-06-15,2024-06-30,"https://covers.openlibrary.org/b/isbn/9780316258876-M.jpg","https://covers.openlibrary.org/b/isbn/9780316258876-L.jpg","June 15, 2024"
"NOT IN LOVE","Ali Hazelwood","9780593550427",3,698,"A biotech engineer at a food science start-up has a secret affair with one of the business partners who took over the company.",2024-06-15,2024-06-30,"https://covers.openlibrary.org/b/isbn/9780593550427-M.jpg","https://covers.openlibrary.org/b/isbn/9780593550427-L.jpg","June 15, 2024"
"ERUPTION","Michael Crichton and James Patterson","9780316565073",4,698,"The Big Island of Hawaii comes under threat by a volcano at the same time a secret held by the military comes to light.",2024-06-15,2024-06-30,"https://covers.openlibrary.org/b/isbn/9780316565073-M.jpg","https://covers.openlibrary.org/b/isbn/9780316565073-L.jpg","June 15, 2024"
"THE WOMEN","Kristin Hannah","9781250178633",5,698,"In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.",2024-06-15,2024-06-30,"https://covers.openlibrary.org/b/isbn/9781250178633-M.jpg","https://covers.openlibrary.org/b/isbn/9781250178633-L.jpg","June 15, 2024"
"CAMINO GHOSTS","John Grisham","9780385545990",6,698,"The third book in the Camino series. The last living inhabitant of a deserted island gets in the way of a resort developer.",2024-06-15,2024-06-30,"https://covers.openlibrary.org/b/isbn/9780385545990-M.jpg","https://covers.openlibrary.org/b/isbn/9780385545990-L.jpg","June 15, 2024"
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",7,698,"After killing a wolf in the woods, Feyre is taken from her home and placed inside the world of the Fae.",2024-06-15,2024-06-30,"https://covers.openlibrary.org/b/isbn/9781619634459-M.jpg","https://covers.openlibrary.org/b/isbn/9781619634459-L.jpg","June 15, 2024"
"THE HOUSEMAID","Freida McFadden","9781538742570",8,698,"Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.",2024-06-15,2024-06-30,"https://covers.openlibrary.org/b/isbn/9781538742570-M.jpg","https://covers.openlibrary.org/b/isbn/9781538742570-L.jpg","June 15, 2024"
"YOU LIKE IT DARKER","Stephen King","9781668037713",9,698,"A dozen short stories that explore darkness in literal and metaphorical forms.",2024-06-15,2024-06-30,"https://covers.openlibrary.org/b/isbn/9781668037713-M.jpg","https://covers.openlibrary.org/b/isbn/9781668037713-L.jpg","June 15, 2024"
"FUNNY STORY","Emily Henry","9780593441282",10,698,"After their exes run off together, Daphne and Miles form a friendship and concoct a plan involving misleading photos.",2024-06-15,2024-06-30,"https://covers.openlibrary.org/b/isbn/9780593441282-M.jpg","https://covers.openlibrary.org/b/isbn/9780593441282-L.jpg","June 15, 2024"
"A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473",11,698,"The second book in the Court of Thorns and Roses series. Feyre gains the powers of the High Fae and a greater evil emerges.",2024-06-15,2024-06-30,"https://covers.openlibrary.org/b/isbn/9781619634473-M.jpg","https://covers.openlibrary.org/b/isbn/9781619634473-L.jpg","June 15, 2024"
"THIS SUMMER WILL BE DIFFERENT","Carley Fortune","9780593638880",12,698,"Lucy returns to Prince Edward Island, where she finds it difficult to stay away from her best friend’s younger brother.",2024-06-15,2024-06-30,"https://covers.openlibrary.org/b/isbn/9780593638880-M.jpg","https://covers.openlibrary.org/b/isbn/9780593638880-L.jpg","June 15, 2024"
"JUST FOR THE SUMMER","Ab Jimenez","9781538704431",13,698,"Justin and Emma, whose exes find soulmates after breaking up with them, have a fling on a private island on Lake Minnetonka.",2024-06-15,2024-06-30,"https://covers.openlibrary.org/b/isbn/9781538704431-M.jpg","https://covers.openlibrary.org/b/isbn/9781538704431-L.jpg","June 15, 2024"
"IT ENDS WITH US","Colleen Hoover","9781501110368",14,698,"A battered wife raised in a violent home attempts to halt the cycle of abuse.",2024-06-15,2024-06-30,"https://covers.openlibrary.org/b/isbn/9781501110368-M.jpg","https://covers.openlibrary.org/b/isbn/9781501110368-L.jpg","June 15, 2024"
"LEATHER AND LARK","Brynne Weaver","9781638931799",15,698,"The second book in the Ruinous Love series. An indie musician offers a contract killer a way to his freedom, but only if he'll marry her.",2024-06-15,2024-06-30,"https://covers.openlibrary.org/b/isbn/9781638931799-M.jpg","https://covers.openlibrary.org/b/isbn/9781638931799-L.jpg","June 15, 2024"
"ERUPTION","Michael Crichton and James Patterson","9780316565073",1,697,"The Big Island of Hawaii comes under threat by a volcano at the same time a secret held by the military comes to light.",2024-06-08,2024-06-23,"https://covers.openlibrary.org/b/isbn/9780316565073-M.jpg","https://covers.openlibrary.org/b/isbn/9780316565073-L.jpg","June 08, 2024"
"LEATHER AND LARK","Brynne Weaver","9781638931799",2,697,"The second book in the Ruinous Love series. An indie musician offers a contract killer a way to his freedom, but only if he'll marry her.",2024-06-08,2024-06-23,"https://covers.openlibrary.org/b/isbn/9781638931799-M.jpg","https://covers.openlibrary.org/b/isbn/9781638931799-L.jpg","June 08, 2024"
"CAMINO GHOSTS","John Grisham","9780385545990",3,697,"The third book in the Camino series. The last living inhabitant of a deserted island gets in the way of a resort developer.",2024-06-08,2024-06-23,"https://covers.openlibrary.org/b/isbn/9780385545990-M.jpg","https://covers.openlibrary.org/b/isbn/9780385545990-L.jpg","June 08, 2024"
"THE WOMEN","Kristin Hannah","9781250178633",4,697,"In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.",2024-06-08,2024-06-23,"https://covers.openlibrary.org/b/isbn/9781250178633-M.jpg","https://covers.openlibrary.org/b/isbn/9781250178633-L.jpg","June 08, 2024"
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",5,697,"After killing a wolf in the woods, Feyre is taken from her home and placed inside the world of the Fae.",2024-06-08,2024-06-23,"https://covers.openlibrary.org/b/isbn/9781619634459-M.jpg","https://covers.openlibrary.org/b/isbn/9781619634459-L.jpg","June 08, 2024"
"YOU LIKE IT DARKER","Stephen King","9781668037713",6,697,"A dozen short stories that explore darkness in literal and metaphorical forms.",2024-06-08,2024-06-23,"https://covers.openlibrary.org/b/isbn/9781668037713-M.jpg","https://covers.openlibrary.org/b/isbn/9781668037713-L.jpg","June 08, 2024"
"FUNNY STORY","Emily Henry","9780593441282",7,697,"After their exes run off together, Daphne and Miles form a friendship and concoct a plan involving misleading photos.",2024-06-08,2024-06-23,"https://covers.openlibrary.org/b/isbn/9780593441282-M.jpg","https://covers.openlibrary.org/b/isbn/9780593441282-L.jpg","June 08, 2024"
"THE COMFORT OF GHOSTS","Jacqueline Winspear","9781641296069",8,697,"The 18th book in the Maisie Dobbs series. Maisie looks into a decades-old mystery that involved her late husband.",2024-06-08,2024-06-23,"https://covers.openlibrary.org/b/isbn/9781641296069-M.jpg","https://covers.openlibrary.org/b/isbn/9781641296069-L.jpg","June 08, 2024"
"THE ASHES & THE STAR-CURSED KING","Carissa Broadbent","9781250343154",9,697,"The second book in the Crowns of Nyaxia series. Oraya faces a difficult choice between love and power.",2024-06-08,2024-06-23,"https://covers.openlibrary.org/b/isbn/9781250343154-M.jpg","https://covers.openlibrary.org/b/isbn/9781250343154-L.jpg","June 08, 2024"
"THE WREN IN THE HOLLY LIBRARY","K.A. Linde","9781649374073",10,697,"A thief breaks the Monster Treaty that was created in the aftermath of the destruction of New York City years ago.",2024-06-08,2024-06-23,"https://covers.openlibrary.org/b/isbn/9781649374073-M.jpg","https://covers.openlibrary.org/b/isbn/9781649374073-L.jpg","June 08, 2024"
"THIS SUMMER WILL BE DIFFERENT","Carley Fortune","9780593638880",11,697,"Lucy returns to Prince Edward Island, where she finds it difficult to stay away from her best friend’s younger brother.",2024-06-08,2024-06-23,"https://covers.openlibrary.org/b/isbn/9780593638880-M.jpg","https://covers.openlibrary.org/b/isbn/9780593638880-L.jpg","June 08, 2024"
"THE HOUSEMAID","Freida McFadden","9781538742570",12,697,"Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.",2024-06-08,2024-06-23,"https://covers.openlibrary.org/b/isbn/9781538742570-M.jpg","https://covers.openlibrary.org/b/isbn/9781538742570-L.jpg","June 08, 2024"
"A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473",13,697,"The second book in the Court of Thorns and Roses series. Feyre gains the powers of the High Fae and a greater evil emerges.",2024-06-08,2024-06-23,"https://covers.openlibrary.org/b/isbn/9781619634473-M.jpg","https://covers.openlibrary.org/b/isbn/9781619634473-L.jpg","June 08, 2024"
"JUST FOR THE SUMMER","Ab Jimenez","9781538704431",14,697,"Justin and Emma, whose exes find soulmates after breaking up with them, have a fling on a private island on Lake Minnetonka.",2024-06-08,2024-06-23,"https://covers.openlibrary.org/b/isbn/9781538704431-M.jpg","https://covers.openlibrary.org/b/isbn/9781538704431-L.jpg","June 08, 2024"
"FOURTH WING","Rebecca Yarros","9781649374042",15,697,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",2024-06-08,2024-06-23,"https://covers.openlibrary.org/b/isbn/9781649374042-M.jpg","https://covers.openlibrary.org/b/isbn/9781649374042-L.jpg","June 08, 2024"
"CAMINO GHOSTS","John Grisham","9780385545990",1,696,"The third book in the Camino series. The last living inhabitant of a deserted island gets in the way of a resort developer.",2024-06-01,2024-06-16,"https://covers.openlibrary.org/b/isbn/9780385545990-M.jpg","https://covers.openlibrary.org/b/isbn/9780385545990-L.jpg","June 01, 2024"
"THE WOMEN","Kristin Hannah","9781250178633",2,696,"In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.",2024-06-01,2024-06-16,"https://covers.openlibrary.org/b/isbn/9781250178633-M.jpg","https://covers.openlibrary.org/b/isbn/9781250178633-L.jpg","June 01, 2024"
"YOU LIKE IT DARKER","Stephen King","9781668037713",3,696,"A dozen short stories that explore darkness in literal and metaphorical forms.",2024-06-01,2024-06-16,"https://covers.openlibrary.org/b/isbn/9781668037713-M.jpg","https://covers.openlibrary.org/b/isbn/9781668037713-L.jpg","June 01, 2024"
"FUNNY STORY","Emily Henry","9780593441282",4,696,"After their exes run off together, Daphne and Miles form a friendship and concoct a plan involving misleading photos.",2024-06-01,2024-06-16,"https://covers.openlibrary.org/b/isbn/9780593441282-M.jpg","https://covers.openlibrary.org/b/isbn/9780593441282-L.jpg","June 01, 2024"
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",5,696,"After killing a wolf in the woods, Feyre is taken from her home and placed inside the world of the Fae.",2024-06-01,2024-06-16,"https://covers.openlibrary.org/b/isbn/9781619634459-M.jpg","https://covers.openlibrary.org/b/isbn/9781619634459-L.jpg","June 01, 2024"
"JUST FOR THE SUMMER","Ab Jimenez","9781538704431",6,696,"Justin and Emma, whose exes find soulmates after breaking up with them, have a fling on a private island on Lake Minnetonka.",2024-06-01,2024-06-16,"https://covers.openlibrary.org/b/isbn/9781538704431-M.jpg","https://covers.openlibrary.org/b/isbn/9781538704431-L.jpg","June 01, 2024"
"SOUTHERN MAN","Greg Iles","9780062824691",7,696,"Fifteen years after the events of the Natchez Burning trilogy, Penn Cage works to reveal the motivations of a polarizing national figure.",2024-06-01,2024-06-16,"https://covers.openlibrary.org/b/isbn/9780062824691-M.jpg","https://covers.openlibrary.org/b/isbn/9780062824691-L.jpg","June 01, 2024"
"THIS SUMMER WILL BE DIFFERENT","Carley Fortune","9780593638880",8,696,"Lucy returns to Prince Edward Island, where she finds it difficult to stay away from her best friend’s younger brother.",2024-06-01,2024-06-16,"https://covers.openlibrary.org/b/isbn/9780593638880-M.jpg","https://covers.openlibrary.org/b/isbn/9780593638880-L.jpg","June 01, 2024"
"A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473",9,696,"The second book in the Court of Thorns and Roses series. Feyre gains the powers of the High Fae and a greater evil emerges.",2024-06-01,2024-06-16,"https://covers.openlibrary.org/b/isbn/9781619634473-M.jpg","https://covers.openlibrary.org/b/isbn/9781619634473-L.jpg","June 01, 2024"
"FIRST FROST","Craig Johnson","9780593830673",10,696,"The 20th book in the Longmire series. Shortly after enlisting to serve in the Vietnam War, Walt and Henry go out Route 66 to try to outrun troubles.",2024-06-01,2024-06-16,"https://covers.openlibrary.org/b/isbn/9780593830673-M.jpg","https://covers.openlibrary.org/b/isbn/9780593830673-L.jpg","June 01, 2024"
"THE HOUSEMAID","Freida McFadden","9781538742570",11,696,"Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.",2024-06-01,2024-06-16,"https://covers.openlibrary.org/b/isbn/9781538742570-M.jpg","https://covers.openlibrary.org/b/isbn/9781538742570-L.jpg","June 01, 2024"
"IT ENDS WITH US","Colleen Hoover","9781501110368",12,696,"A battered wife raised in a violent home attempts to halt the cycle of abuse.",2024-06-01,2024-06-16,"https://covers.openlibrary.org/b/isbn/9781501110368-M.jpg","https://covers.openlibrary.org/b/isbn/9781501110368-L.jpg","June 01, 2024"
"IRON FLAME","Rebecca Yarros","9781649374172",13,696,"The second book in the Empyrean series. Violet Sorrengail’s next round of training might require her to betray the man she loves.",2024-06-01,2024-06-16,"https://covers.openlibrary.org/b/isbn/9781649374172-M.jpg","https://covers.openlibrary.org/b/isbn/9781649374172-L.jpg","June 01, 2024"
"FOURTH WING","Rebecca Yarros","9781649374042",14,696,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",2024-06-01,2024-06-16,"https://covers.openlibrary.org/b/isbn/9781649374042-M.jpg","https://covers.openlibrary.org/b/isbn/9781649374042-L.jpg","June 01, 2024"
"A COURT OF WINGS AND RUIN","Sarah J. Maas","9781635575606",15,696,"The third book in the Court of Thorns and Roses series. As war approaches, Feyre endeavors to take charge of her magical and political powers.",2024-06-01,2024-06-16,"https://covers.openlibrary.org/b/isbn/9781635575606-M.jpg","https://covers.openlibrary.org/b/isbn/9781635575606-L.jpg","June 01, 2024"
"YOU LIKE IT DARKER","Stephen King","9781668037713",1,695,"A dozen short stories that explore darkness in literal and metaphorical forms.",2024-05-25,2024-06-09,"https://covers.openlibrary.org/b/isbn/9781668037713-M.jpg","https://covers.openlibrary.org/b/isbn/9781668037713-L.jpg","May 25, 2024"
"MIND GAMES","Nora Roberts","9781250289698",2,695,"Thea shares the gift to see into the minds and souls of others with the man who killed her parents when she was 12 and now seeks vengeance.",2024-05-25,2024-06-09,"https://covers.openlibrary.org/b/isbn/9781250289698-M.jpg","https://covers.openlibrary.org/b/isbn/9781250289698-L.jpg","May 25, 2024"
"THE WOMEN","Kristin Hannah","9781250178633",3,695,"In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.",2024-05-25,2024-06-09,"https://covers.openlibrary.org/b/isbn/9781250178633-M.jpg","https://covers.openlibrary.org/b/isbn/9781250178633-L.jpg","May 25, 2024"
"FUNNY STORY","Emily Henry","9780593441282",4,695,"After their exes run off together, Daphne and Miles form a friendship and concoct a plan involving misleading photos.",2024-05-25,2024-06-09,"https://covers.openlibrary.org/b/isbn/9780593441282-M.jpg","https://covers.openlibrary.org/b/isbn/9780593441282-L.jpg","May 25, 2024"
"IT ENDS WITH US","Colleen Hoover","9781501110368",5,695,"A battered wife raised in a violent home attempts to halt the cycle of abuse.",2024-05-25,2024-06-09,"https://covers.openlibrary.org/b/isbn/9781501110368-M.jpg","https://covers.openlibrary.org/b/isbn/9781501110368-L.jpg","May 25, 2024"
"JUST FOR THE SUMMER","Ab Jimenez","9781538704431",6,695,"Justin and Emma, whose exes find soulmates after breaking up with them, have a fling on a private island on Lake Minnetonka.",2024-05-25,2024-06-09,"https://covers.openlibrary.org/b/isbn/9781538704431-M.jpg","https://covers.openlibrary.org/b/isbn/9781538704431-L.jpg","May 25, 2024"
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",7,695,"After killing a wolf in the woods, Feyre is taken from her home and placed inside the world of the Fae.",2024-05-25,2024-06-09,"https://covers.openlibrary.org/b/isbn/9781619634459-M.jpg","https://covers.openlibrary.org/b/isbn/9781619634459-L.jpg","May 25, 2024"
"ROMANCING MISTER BRIDGERTON","Julia Quinn","9780062424105",8,695,"The fourth book in the Bridgerton series. Penelope Featherington and Colin Bridgerton discover each other's secrets. The inspiration for the third season of the streaming series “Bridgerton.”",2024-05-25,2024-06-09,"https://covers.openlibrary.org/b/isbn/9780062424105-M.jpg","https://covers.openlibrary.org/b/isbn/9780062424105-L.jpg","May 25, 2024"
"ONE PERFECT COUPLE","Ruth Ware","9781668025598",9,695,"On a storm-swept island, there is a killer amid five couples who were cast on a reality TV series and are now unable to contact their crew.",2024-05-25,2024-06-09,"https://covers.openlibrary.org/b/isbn/9781668025598-M.jpg","https://covers.openlibrary.org/b/isbn/9781668025598-L.jpg","May 25, 2024"
"TOM CLANCY: ACT OF DEFIANCE","Brian Andrews and Jeffrey Wilson","9780593422878",10,695,"The 24th book in the Jack Ryan series. Four decades after dealing with the Soviet submarine Red October, President Ryan takes on a new Russian vessel headed for the east coast.",2024-05-25,2024-06-09,"https://covers.openlibrary.org/b/isbn/9780593422878-M.jpg","https://covers.openlibrary.org/b/isbn/9780593422878-L.jpg","May 25, 2024"
"THIS SUMMER WILL BE DIFFERENT","Carley Fortune","9780593638880",11,695,"Lucy returns to Prince Edward Island, where she finds it difficult to stay away from her best friend’s younger brother.",2024-05-25,2024-06-09,"https://covers.openlibrary.org/b/isbn/9780593638880-M.jpg","https://covers.openlibrary.org/b/isbn/9780593638880-L.jpg","May 25, 2024"
"HEAVENBREAKER","Sara Wolf","9781649375704",12,695,"A giant machine left over from the war has something unstoppable in it.",2024-05-25,2024-06-09,"https://covers.openlibrary.org/b/isbn/9781649375704-M.jpg","https://covers.openlibrary.org/b/isbn/9781649375704-L.jpg","May 25, 2024"
"A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473",13,695,"The second book in the Court of Thorns and Roses series. Feyre gains the powers of the High Fae and a greater evil emerges.",2024-05-25,2024-06-09,"https://covers.openlibrary.org/b/isbn/9781619634473-M.jpg","https://covers.openlibrary.org/b/isbn/9781619634473-L.jpg","May 25, 2024"
"THE HOUSEMAID","Freida McFadden","9781538742570",14,695,"Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.",2024-05-25,2024-06-09,"https://covers.openlibrary.org/b/isbn/9781538742570-M.jpg","https://covers.openlibrary.org/b/isbn/9781538742570-L.jpg","May 25, 2024"
"THINK TWICE","Harlan Coben","9781538756317",15,695,"The 12th book in the Myron Bolitar series. Myron’s client, whom he eulogized three years ago, might still be alive and is the main suspect in a double homicide.",2024-05-25,2024-06-09,"https://covers.openlibrary.org/b/isbn/9781538756317-M.jpg","https://covers.openlibrary.org/b/isbn/9781538756317-L.jpg","May 25, 2024"
"THINK TWICE","Harlan Coben","9781538756317",1,694,"The 12th book in the Myron Bolitar series. Myron’s client, whom he eulogized three years ago, might still be alive and is the main suspect in a double homicide.",2024-05-18,2024-06-02,"https://covers.openlibrary.org/b/isbn/9781538756317-M.jpg","https://covers.openlibrary.org/b/isbn/9781538756317-L.jpg","May 18, 2024"
"THE WOMEN","Kristin Hannah","9781250178633",2,694,"In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.",2024-05-18,2024-06-02,"https://covers.openlibrary.org/b/isbn/9781250178633-M.jpg","https://covers.openlibrary.org/b/isbn/9781250178633-L.jpg","May 18, 2024"
"FUNNY STORY","Emily Henry","9780593441282",3,694,"After their exes run off together, Daphne and Miles form a friendship and concoct a plan involving misleading photos.",2024-05-18,2024-06-02,"https://covers.openlibrary.org/b/isbn/9780593441282-M.jpg","https://covers.openlibrary.org/b/isbn/9780593441282-L.jpg","May 18, 2024"
"THE DIXON RULE","Elle Kennedy","9781728260723",4,694,"The second book of the Campus Diaries series. Diana and the new guy in her building pretend to be in a relationship to confound their exes.",2024-05-18,2024-06-02,"https://covers.openlibrary.org/b/isbn/9781728260723-M.jpg","https://covers.openlibrary.org/b/isbn/9781728260723-L.jpg","May 18, 2024"
